"","spp","cu","cuid","peakQmag_year.1985.07.02.mean","peakQmag_year.2055.07.02.mean","peakQday_year.1985.07.02.mean","peakQday_year.2055.07.02.mean","POT19freq_year.1985.07.02.mean","POT19freq_year.2055.07.02.mean","POT19dur_year.1985.07.02.mean","POT19dur_year.2055.07.02.mean","lowQ05_year.1985.07.02.mean","lowQ05_year.2055.07.02.mean","highQ95_year.1985.07.02.mean","highQ95_year.2055.07.02.mean","peakQmag_year.diff.mean","peakQday_year.diff.mean","POT19freq_year.diff.mean","POT19dur_year.diff.mean","lowQ05_year.diff.mean","highQ95_year.diff.mean","peakQmag_year.prct_change.mean","peakQday_year.prct_change.mean","POT19freq_year.prct_change.mean","POT19dur_year.prct_change.mean","lowQ05_year.prct_change.mean","highQ95_year.prct_change.mean","peakQmag_year.1985.07.02.SD","peakQmag_year.2055.07.02.SD","peakQday_year.1985.07.02.SD","peakQday_year.2055.07.02.SD","POT19freq_year.1985.07.02.SD","POT19freq_year.2055.07.02.SD","POT19dur_year.1985.07.02.SD","POT19dur_year.2055.07.02.SD","lowQ05_year.1985.07.02.SD","lowQ05_year.2055.07.02.SD","highQ95_year.1985.07.02.SD","highQ95_year.2055.07.02.SD"
"1","Chinook","Middle Fraser River_SU_1.3",311,102.146483421755,101.639663231157,150.920950990103,134.665381223193,7.72933447586404,25.9789917166524,2.86160457913257,8.01903229977181,18.2666666666667,13.6621893744644,18.2666666666667,25.6266638103399,-0.506820190597551,-16.25556976691,18.2496572407883,5.15742772063924,-4.60447729220223,7.35999714367324,0.995038300158558,0.892290833974562,3.3610903756042,2.80228524871965,0.747930075244404,1.40291955166094,210.962514927256,206.274813647838,31.3899420795321,31.7820068931585,10.0917363768606,18.729987347335,2.76012311272926,7.75452245359413,0,14.4950299914727,0,32.1024926797795
"2","Chinook","Upper Fraser River_SP_1.3",312,183.708519324211,179.493284091003,153.826282837416,139.575401485457,3.54648779213997,15.2297819558689,1.13382260711971,3.81937305675034,18.2201527614571,14.6911084998042,18.2666666666667,17.6497062279671,-4.21523523320766,-14.2508813519595,11.6832941637289,2.68555044963063,-3.52904426165296,-0.616960438699568,0.977054764532893,0.907357305337595,4.29432803621162,3.36858079276866,0.806310939987381,0.966224793501848,532.467862751983,518.259924743636,18.864164003837,23.572023187629,6.87752886315545,13.8050492144874,1.68497333708347,3.51820400502144,0.714377580414594,12.4860806337241,0,3.03529216015105
"3","Chinook","South Thompson_SU_0.3",313,229.132947273197,226.08886736234,153.748259382106,137.572337796795,18.7643946932007,44.7399834162521,7.39224121003591,14.8922017797478,18.2666500829187,14.4356053067993,18.2666500829187,16.4970149253731,-3.04407991085628,-16.1759215853107,25.9755887230514,7.49996056971189,-3.8310447761194,-1.7696351575456,0.986714787432002,0.89478956281964,2.38430197977363,2.01457194869801,0.790271080973854,0.903122074955583,546.116434732641,539.824883979837,25.9543650003595,26.3853669836301,20.3967261622975,27.9897323906136,9.80611095680597,18.1249676746349,0.00030353242483791,12.4835670388272,0.00030353242483791,4.33119463834519
"4","Chinook","Shuswap River_SU_0.3",315,220.643811192364,214.991525216649,169.104168891907,153.635416030884,35.3791666666667,73.6194444444444,13.0928897019262,27.1260388396326,18.2666666666667,7.60520833333333,18.2666666666667,14.4590277777778,-5.65228597571451,-15.4687528610229,38.2402777777778,14.0331491377064,-10.6614583333333,-3.80763888888889,0.974382757689103,0.908525301520445,2.08086994072155,2.07181450827024,0.41634352189781,0.791552615571776,106.366645815092,103.213327182492,6.41810964347812,6.43952356143172,18.1788473718646,16.8191900002163,8.39952490681934,14.3641855624265,0,3.36986247826643,0,0.508835008468974
"5","Chinook","South Thompson_SU_1.3",314,25.6857788165031,25.6035558410918,158.804071557431,144.061068527571,11.7771416454623,32.5033502968617,2.71874687465698,6.43471707715935,18.2666242578456,17.2737489397795,18.2666666666667,18.4916454622561,-0.0822229754113373,-14.7430030298597,20.7262086513995,3.71597020250237,-0.992875318066158,0.224978795589482,0.996798891090719,0.9071623108572,2.75986748528114,2.36679520890344,0.945645385592266,1.01231635742278,59.1801919817476,58.4903538273235,16.1215132818303,15.2957347120391,19.8169463850304,26.6153651978532,3.18004439269334,6.26929880061824,0.000485391142589541,14.1252611276644,0,11.804907038478
"6","Chinook","South Thompson-Bessette Creek_SU_1.2",316,14.9476437207063,14.6498171910644,150.559999084473,134.006666870117,16.0011111111111,42.6711111111111,4.19025480938814,9.60175037277537,18.2666666666667,25.5193333333333,18.2666666666667,14.3546666666667,-0.297826529641945,-16.5533322143555,26.67,5.41149556338723,7.25266666666667,-3.912,0.98007535266382,0.890054912891783,2.66675925282966,2.29144784972573,1.39704379562044,0.785839416058394,50.0318899108757,49.1999046281154,11.346486521456,10.5444916054048,17.6816622678852,26.700325401448,4.3748644923415,9.47650551978574,0,11.4818788521439,0,6.0492423087762
"7","Chinook","Lower Thompson_SP_1.2",317,74.3482251863271,73.6046795005968,126.606250190735,111.174999847412,10.0093472222222,27.5860416666667,2.53941437930265,5.80948758682127,18.2666527777778,20.6079305555556,18.2666666666667,20.9020833333333,-0.743545685730254,-15.4312503433228,17.5766944444444,3.27007320751862,2.34127777777778,2.63541666666667,0.989999146800521,0.878116204215232,2.756028046007,2.28772729420262,1.12817223857378,1.1442746350365,402.390382256581,396.904449749731,17.9067452014561,17.8692397819757,15.1424212835078,21.64322316646,3.55706966665865,7.61085594846847,0.000277777777777821,15.835156406932,0,4.68329386410752
"8","Chinook","North Thompson_SP_1.3",318,143.04197005834,144.419381174056,168.853623431662,157.384057694587,1.29887278582931,15.8375603864734,0.65463568425223,4.85642049839363,18.2666666666667,6.11211755233494,18.2666666666667,19.0550724637681,1.37741111571663,-11.4695657370747,14.5386876006441,4.2017848141414,-12.1545491143317,0.788405797101451,1.00962941935961,0.932073914056593,12.1933114306968,7.41850866859017,0.334604975492789,1.04316090130117,278.037927765424,278.066510020107,7.51401222146766,9.80103377503283,2.23827788251278,11.9664065723592,0.838770881173835,4.61864989417648,0,6.90195106873726,0,1.80806463361267
"9","Chinook","North Thompson_SU_1.3",319,214.387959518613,211.666384724614,146.768429536086,131.586538571578,7.97475961538461,30.4633814102564,2.60847593544016,7.65943735406467,18.266639957265,20.3425747863248,18.2666666666667,18.0483707264957,-2.72157479399957,-15.1818909645081,22.4886217948718,5.05096141862451,2.07593482905983,-0.21829594017094,0.987305374797584,0.896558878414821,3.81997488068325,2.93636496699066,1.11364623345708,0.988049492326408,485.346323114422,478.465719873872,20.0322048473401,21.9050305442139,9.42151174929275,18.6519993411309,2.12509528245301,6.74555657044768,0.000385208469600914,15.1810543379981,0,1.23203504264359
"10","Chinook","Lower Fraser River_FA_0.3",303,930.773135178017,814.042269898183,188.530299100009,191.287875088778,12.5709595959596,63.2777777777778,5.30091770883438,29.8017016113796,18.2666666666667,21.6409090909091,18.2666666666667,14.4558080808081,-116.730865279833,2.75757598876953,50.7068181818182,24.5007839025453,3.37424242424242,-3.81085858585858,0.874587199750337,1.01462669927292,5.03364737550471,5.62198910609627,1.18472130059721,0.791376354788764,647.188924139355,564.823749340999,48.8098728017918,73.9590933427716,23.378865623128,26.3371261751837,7.51315525145352,13.8235081324372,0,27.2795582639347,0,11.4506700174504
