"","spp","time","POT19freq_year","POT19dur_year","lowQ05_year","highQ95_year"
"1","Chinook",1985-07-02,2.58631333333333,1.46139058333333,0,0
"2","Chinook",2055-07-02,16.3044816666667,2.08003615740741,10.6911933333333,4.66195333333334
"3","Chum",1985-07-02,0.959571666666667,0.744731944444444,0,0
"4","Chum",2055-07-02,16.5515816666667,3.1483212756734,15.0772183333333,5.98805666666667
"5","Coho",1985-07-02,2.64397,1.49083666666667,0,0
"6","Coho",2055-07-02,16.5021616666667,2.14813247222222,9.06445166666667,4.34072333333333
"7","Pink",1985-07-02,3.22053666666667,1.59771722222222,0,0
"8","Pink",2055-07-02,16.9922433333333,2.14066747306397,8.784405,4.42720833333333
"9","Sockeye",1985-07-02,14.5212433333333,4.70903961111111,0,0
"10","Sockeye",2055-07-02,24.6317516666667,14.0465150867003,2.39275166666667,6.19397333333333
